gene_id,gene_short_name,cell_group,CeNGEN_annotation,Additional genes used for annotation,Notes,Final annotation,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
WBGene00020218,T04G9.7,4,Gonadal,"This cluster does not express markers of the proximal gonadal sheath: tni-1, ipp-5, vav-1, ncr-2, myo-3, unc-54, unc-15, unc-89, lev-11 and pat-10. This cluster also does not express inx-8 and inx-9 prominently (sh1 gonadal sheath expresses inx-8 and inx-9 at a lower level compared to sh2 gonadal sheath). ",,sh1 (gonadal sheath distal),0.076926578,14.49216883,0.945785303,0.081336195,0.306744663,0,0
WBGene00016636,perm-2,4,,,,,0.046526883,10.84817453,0.961455331,0.048392142,0.239055191,0,0
WBGene00016638,perm-4,4,,,,,0.05146336,7.14944297,0.899675793,0.057202117,0.225366147,0,0
WBGene00007196,B0513.4,4,,,,,0.052401364,3.365504037,0.751440922,0.069734509,0.186333169,0,0
WBGene00018271,F41C3.5,4,,,,,0.051171594,2.790146738,0.717038905,0.071365157,0.184030601,0,0
WBGene00010957,nduo-6,4,,,,,0.022984384,58.27953996,0.999459654,0.022996811,0.16747408,0,0
WBGene00001386,far-2,4,,,,,0.022312243,6.850884541,0.979466859,0.022779987,0.155444988,0,0
WBGene00010960,atp-6,4,,,,,0.021773252,38.22747649,0.999459654,0.021785024,0.134862753,0,0
WBGene00016534,C39D10.7,4,,,,,0.037614578,2.060832958,0.603206052,0.06235776,0.133618527,0,0
WBGene00016084,cht-3,4,,,,,0.020071841,1.115877616,0.567903458,0.035343756,0.129366283,0,0
WBGene00000214,asp-1,5,Intestine,"This cluster does not express anterior-specific genes (crn-6, glc-1, lys-7, pho-4, ttx-1, C13B4.1, F38A1.9, K10D11.6, T28F3.5, F27C1.11, F48G7.5, fbxc-8, Y37F4.7, ceh-37 and app-1) nor posterior-specific genes (catp-6, btbd-10, rpn-6.1, F01F1.2, faah-1, spin-3, irg-7, F42A10.5, dut-1, pho-1, lipl-1 and psa-3) or anterior and posterior- specific genes (aex-1, cyp35A2, fbl-1, abts-4, stim-1).",,Intestine middle,0.140986715,12.2270109,0.981501632,0.143643893,0.553782316,0,0
WBGene00017691,ilys-5,5,,,,,0.111610282,17.26588821,0.990206746,0.11271412,0.502187485,0,0
WBGene00009394,clec-63,5,,,,,0.131402815,4.314901759,0.876133478,0.149980361,0.460595368,0,0
WBGene00000216,asp-3,5,,,,,0.11692821,3.875508225,0.850380849,0.137500992,0.428931047,0,0
WBGene00000781,cpr-1,5,,,,,0.147723577,3.02947467,0.732499093,0.201670662,0.411976578,0,0
WBGene00003093,lys-4,5,,,,,0.130077612,5.452857122,0.817192601,0.1591762,0.394139547,0,0
WBGene00020662,T21H3.1,5,,,,,0.112925999,2.95177049,0.803953573,0.140463333,0.389949901,0,0
WBGene00000219,asp-6,5,,,,,0.106518117,3.951084744,0.849111353,0.125446582,0.387637226,0,0
WBGene00000784,cpr-4,5,,,,,0.135981719,2.538527824,0.665578527,0.204306048,0.365207323,0,0
WBGene00015913,C17F4.7,5,,,,,0.08216368,14.52945209,0.984403337,0.083465463,0.364846299,0,0
WBGene00017542,F17E9.5,6,Sperm,"This cluster does not express zipt-7.1, cdc-48.1, ubxn-2, him-3, vbh-1 and set-17 which are all gene markers for spermatocytes. ",At the young adult stage most of the sperm in the hermaphrodite is mature sperm (PMID: 24718317).,Mature sperm,0.312532499,33.91322859,0.995044053,0.314089108,0.711661807,0,0
WBGene00019430,K06A5.2,6,,,,,0.340338243,10.79220566,0.977422907,0.348199577,0.698847104,0,0
WBGene00021398,Y38C1AA.7,6,,,,,0.260131661,30.32141111,0.991372981,0.262395351,0.649518949,0,0
WBGene00020990,W03D8.9,6,,,,,0.293416494,6.326341732,0.93979442,0.312213488,0.634767658,0,0
WBGene00016351,C33F10.1,6,,,,,0.245288625,21.8538979,0.987701909,0.248342767,0.632565627,0,0
WBGene00015348,C02F5.5,6,,,,,0.301232168,6.363166375,0.93061674,0.323690897,0.628744864,0,0
WBGene00021996,Y59E9AL.6,6,,,,,0.2621595,17.67890109,0.973568282,0.269276953,0.620433782,0,0
WBGene00020713,T23B3.5,6,,,,,0.244076425,10.81088295,0.959434655,0.25439609,0.617989305,0,0
WBGene00017112,E03H12.5,6,,,,,0.252195763,11.39683284,0.956314244,0.263716414,0.617959474,0,0
WBGene00013473,Y69E1A.1,6,,,,,0.281839456,4.355523823,0.894456681,0.315095702,0.589984363,0,0
WBGene00016636,perm-2,7,Gonadal,"This cluster does not express markers of the proximal gonadal sheath: tni-1, ipp-5, vav-1, ncr-2, myo-3, unc-54, unc-15, unc-89, lev-11 and pat-10. This cluster expresses inx-8 and inx-9 prominently (sh1 gonadal sheath expresses inx-8 and inx-9 at a lower level compared to sh2 gonadal sheath).",,sh2 (gonadal sheath distal),0.119936613,34.50203729,0.996482784,0.120359945,0.544657123,0,0
WBGene00007196,B0513.4,7,,,,,0.159212583,10.16766628,0.968715291,0.164354361,0.537486798,0,0
WBGene00016638,perm-4,7,,,,,0.142849146,23.26052999,0.993520918,0.143780713,0.530093555,0,0
WBGene00020218,T04G9.7,7,,,,,0.141450957,29.84839334,0.993335802,0.142399939,0.524933817,0,0
WBGene00018271,F41C3.5,7,,,,,0.137537663,7.003970993,0.942613847,0.14591093,0.490248896,0,0
WBGene00016534,C39D10.7,7,,,,,0.140929963,6.531066071,0.920584969,0.153087404,0.474337114,0,0
WBGene00018605,F48E3.4,7,,,,,0.13437367,5.948831619,0.901147723,0.149113921,0.435332596,0,0
WBGene00009897,skpo-1,7,,,,,0.132252056,5.239773657,0.873565346,0.151393433,0.425980136,0,0
WBGene00016084,cht-3,7,,,,,0.070362314,3.217472498,0.853387634,0.08245059,0.412300526,0,0
WBGene00017648,ddo-3,7,,,,,0.125122528,3.642191092,0.818955942,0.152782978,0.405073587,0,0
WBGene00019510,K07H8.10,8,Germline,"This cluster prominently expresses smrc-1, fog-2, xnd-1, daz-1 which are all expressed in proliferative and meiotic germ (but not in mature oocytes). Clusters 8, 12, 21, 22 show the most prominent expression of lst-1 and sygl-1 which are gene markers for the distal-most germ cells (those associated with mitosis). Additionally, these clusters show the highest UMI count among the germ cells (except the spermatocytes) which is indicative of mitotic germ cells since as the germ proceeds through development and enters meiosis, pie-1 begins to suppress transcription (PMID: 11316796). ",,Mitotic germ cells ,0.10156639,3.434639511,0.997608609,0.101809857,0.40226502,0,0
WBGene00011156,R09B3.3,8,,,,,0.062495581,15.49475826,0.999601435,0.062520499,0.401277765,0,0
WBGene00011155,R09B3.2,8,,,,,0.071183083,4.184329647,0.997409326,0.071367974,0.333673481,0,0
WBGene00020915,nol-5,8,,,,,0.090815774,1.789676114,0.990833001,0.091655985,0.326894642,0,0
WBGene00001167,eef-2,8,,,,,0.052596837,7.146893655,0.999601435,0.052617808,0.320213956,0,0
WBGene00002064,iff-1,8,,,,,0.064716396,5.16387366,0.999402152,0.06475511,0.30914583,0,0
WBGene00001423,fib-1,8,,,,,0.073501168,2.650747091,0.996612196,0.073751022,0.301020826,0,0
WBGene00010896,M28.5,8,,,,,0.064350661,3.332209275,0.997409326,0.064517805,0.300550324,0,0
WBGene00004422,rpl-11.1,8,,,,,0.060054921,6.707400076,0.999800717,0.060066891,0.298172831,0,0
WBGene00001856,hil-5,8,,,,,0.084173188,2.043181078,0.980669589,0.085832363,0.281342009,0,0
WBGene00000696,col-122,9,Epidermis,"A subpopulation of this cluster prominently expresses markers for the tail hypodermis (nob-1, lin-44, vab-7, Y18D10A.23, psa-3, sem-4, snf-3 and haly-1). The rest of the cluster does not prominently express gene markers of the head hypodermis (hyp1-3) or tail hypodermis (hyp8-11). Additionally, this cluster does not express markers of hyp7. ",,hyp4_to_hyp6 and Tail hypodermis subpopulation,0.189866403,35.35581477,0.993531695,0.191102512,0.668738385,0,0
WBGene00000754,col-181,9,,,,,0.171970794,19.37213177,0.983829237,0.174797401,0.633842779,0,0
WBGene00000757,col-184,9,,,,,0.188138329,20.10131405,0.97606727,0.192751396,0.627197919,0,0
WBGene00000680,col-106,9,,,,,0.173338681,10.96268136,0.956231134,0.181272785,0.612087773,0,0
WBGene00016658,C45B2.1,9,,,,,0.185799114,16.72714576,0.929279862,0.199938815,0.55672556,0,0
WBGene00000698,col-124,9,,,,,0.106915085,37.97256909,0.998706339,0.107053576,0.504864033,0,0
WBGene00000609,col-20,9,,,,,0.108408385,24.40472217,0.993316085,0.109137854,0.493792361,0,0
WBGene00000693,col-119,9,,,,,0.115166773,16.39654448,0.959680897,0.120005278,0.470652604,0,0
WBGene00000713,col-140,9,,,,,0.094362626,25.27122704,0.995040966,0.094832905,0.470139906,0,0
WBGene00011446,T04F8.8,9,,,,,0.184421595,4.706484104,0.763044416,0.241691822,0.461943528,0,0
WBGene00194674,F23D12.11,10,vulval cells and the epidermis,"This cluster does not prominently express the vulval marker genes col-96 and col-118 (CeNGEN) while cluster 74 does. This cluster does not prominently express gene markers of the head hypodermis (hyp1-3) or tail hypodermis (hyp8-11). Additionally, this clsuter does not express markers of hyp7.",,hyp4_to_hyp6,0.121949688,10.58428602,0.897198373,0.13592277,0.44889086,0,0
WBGene00008211,C49F5.7,10,,,,,0.101733457,5.262626695,0.829643019,0.12262317,0.389849249,0,0
WBGene00013647,Y105C5B.5,10,,,,,0.061477215,5.65308655,0.842973339,0.072929015,0.326130851,0,0
WBGene00000698,col-124,10,,,,,0.067618871,21.35241146,0.991640307,0.06818891,0.310063129,0,0
WBGene00000712,col-139,10,,,,,0.065043935,12.64693242,0.975372797,0.06668623,0.29110353,0,0
WBGene00000703,col-129,10,,,,,0.069231115,7.706147306,0.931089019,0.07435499,0.288720417,0,0
WBGene00045276,F18E3.13,10,,,,,0.074029662,2.457461981,0.685042928,0.108065727,0.27536143,0,0
WBGene00000713,col-140,10,,,,,0.056718098,13.50557136,0.980343425,0.057855336,0.272227026,0,0
WBGene00000608,col-19,10,,,,,0.059757957,9.730467926,0.957749661,0.06239413,0.267511099,0,0
WBGene00012149,VF13D12L.3,10,,,,,0.077507712,1.617727305,0.591278807,0.131084882,0.264681824,0,0
WBGene00003934,pat-10,11,Muscle,"This cluster does not prominently express the vulval muscle markers C53B7.2 (CeNGEN) and mls-1 (CeNGEN) unlike clusters 85 and 143; it does not express the anal muscle markers ttr-10 (CeNGEN), fbl-1 (CeNGEN), Y19D10B.6 (CeNGEN), W03A5.1 (CeNGEN) unlike cluster 92; it does not express hmc markers glb-26 (CeNGEN), Y105E8B.9 (CeNGEN), W04G5.4 (CeNGEN) unlike cluster 103. This cluster also does not express F35D11.1 which is expressed in anal and vulval muscles as well as hmc but not body wall muscle. Additionally, this cluster (in addition to cluster 16) does not prominently express markers of the anterior body wall muscle (unlike cluster 29) or posterior body wall muscle (unlike cluster 53). It does express ceh-34, tni-3 and lron-9 more prominently relative to cluster 29 indicating that it represents body wall muscle but not anterior body wall muscle (CeNGEN)",,Body wall muscle middle,0.11495714,134.0448993,1,0.11495714,0.690774781,0,0
WBGene00000779,cpn-3,11,,,,,0.130030995,51.56474102,0.999542543,0.130090506,0.678251753,0,0
WBGene00020808,clik-1,11,,,,,0.120762618,27.64001631,0.999542543,0.120817887,0.663502636,0,0
WBGene00003371,mlc-3,11,,,,,0.098131501,33.1578796,0.999771272,0.098153951,0.571519769,0,0
WBGene00003369,mlc-1,11,,,,,0.118611818,8.377991658,0.98147301,0.12085082,0.565842287,0,0
WBGene00003370,mlc-2,11,,,,,0.092403509,11.91248203,0.992451967,0.093106278,0.561825628,0,0
WBGene00006408,tag-18,11,,,,,0.122687603,8.432114708,0.953339433,0.128692466,0.540784506,0,0
WBGene00002978,lev-11,11,,,,,0.0834531,15.93906637,0.997483989,0.083663599,0.53120056,0,0
WBGene00006587,tnt-2,11,,,,,0.104851539,3.966620907,0.920402562,0.113919217,0.5109519,0,0
WBGene00019727,zig-12,11,,,,,0.123991835,3.248540803,0.867795059,0.142881471,0.481388479,0,0
WBGene00011156,R09B3.3,12,Germline,"This cluster prominently expresses smrc-1, fog-2, xnd-1, daz-1 which are all expressed in proliferative and meiotic germ (but not in mature oocytes). Clusters 8, 12, 21, 22 show the most prominent expression of lst-1 and sygl-1 which are gene markers for the distal-most germ cells (those associated with mitosis). Additionally, these clusters show the highest UMI count among the germ cells (except the spermatocytes) which is indicative of mitotic germ cells since as the germ proceeds through development and enters meiosis, pie-1 begins to suppress transcription (PMID: 11316796). ",,Mitotic germ cells ,0.064043813,15.97142777,1,0.064043813,0.40347498,0,0
WBGene00002064,iff-1,12,,,,,0.072451081,5.952685129,0.999767008,0.072467965,0.370803649,0,0
WBGene00001856,hil-5,12,,,,,0.107201924,2.733356955,0.995573159,0.107678601,0.368078716,0,0
WBGene00004439,rpl-25.2,12,,,,,0.056902077,6.725566105,1,0.056902077,0.360368073,0,0
WBGene00008920,eef-1G,12,,,,,0.044531044,5.983103197,0.999534017,0.044551805,0.335994275,0,0
WBGene00001855,hil-4,12,,,,,0.094122779,2.434522968,0.996971109,0.094408733,0.334266178,0,0
WBGene00004422,rpl-11.1,12,,,,,0.064485921,7.333801463,1,0.064485921,0.331213708,0,0
WBGene00000883,cyn-7,12,,,,,0.044155015,6.263586544,1,0.044155015,0.327622601,0,0
WBGene00010896,M28.5,12,,,,,0.065512981,3.402107761,0.998835042,0.06558939,0.29554608,0,0
WBGene00001853,hil-2,12,,,,,0.051945226,1.19807293,0.950372787,0.054657737,0.288682821,0,0
WBGene00012615,dct-16,13,Intestine,"This cluster does not express anterior-specific genes (crn-6, glc-1, lys-7, pho-4, ttx-1, C13B4.1, F38A1.9, K10D11.6, T28F3.5, F27C1.11, F48G7.5, fbxc-8, Y37F4.7, ceh-37 and app-1) or posterior-specific genes (catp-6, btbd-10, rpn-6.1, F01F1.2, faah-1, spin-3, irg-7, F42A10.5, dut-1, pho-1, lipl-1 and psa-3) or anterior and posterior- specific genes (aex-1, cyp35A2, fbl-1, abts-4, stim-1).",,Intestine middle,0.049412326,22.68597095,0.997785433,0.049521996,0.226341562,0,0
WBGene00015913,C17F4.7,13,,,,,0.044361762,7.245673495,0.923720472,0.048025093,0.170790708,0,0
WBGene00017691,ilys-5,13,,,,,0.045958001,6.212572261,0.912401575,0.050370366,0.167979889,0,0
WBGene00004494,rps-25,13,,,,,0.027980454,11.24705252,0.99261811,0.028188539,0.135816395,0,0
WBGene00004488,rps-19,13,,,,,0.026904774,8.492550013,0.98523622,0.027307943,0.105848198,0,0
WBGene00010204,F57F5.1,13,,,,,0.034587527,2.091209243,0.625984252,0.05525303,0.101397101,0,0
WBGene00000214,asp-1,13,,,,,0.033898268,2.963951931,0.717519685,0.047243676,0.100408783,0,0
WBGene00010960,atp-6,13,,,,,0.021107916,36.90966699,0.99753937,0.021159983,0.099606781,0,0
WBGene00022497,Y119D3B.21,13,,,,,0.031930189,3.157030117,0.778297244,0.0410257,0.097917718,0,0
WBGene00004483,rps-14,13,,,,,0.026758866,9.593924039,0.986466535,0.027125974,0.096225021,0,0
WBGene00001168,eef-1A.1,14,Germline,"This cluster does not express smrc-1, fog-2, him-3, xnd-1, par-1, daz-1 which are all involved in mitosis and meiosis in germ cells.  ",,Differentiated germ,0.050084738,22.6797072,0.999501868,0.050109699,0.26169914,0,0
WBGene00011156,R09B3.3,14,,,,,0.053559451,12.83907854,0.995267746,0.053814113,0.236774415,0,0
WBGene00004478,rps-9,14,,,,,0.031952149,14.52954686,0.999003736,0.031984014,0.228348725,0,0
WBGene00021350,Y37E3.8,14,,,,,0.03403853,10.6469996,0.995765878,0.034183266,0.228267934,0,0
WBGene00004422,rpl-11.1,14,,,,,0.058575073,6.669486708,0.979576588,0.059796318,0.219191933,0,0
WBGene00004425,rpl-13,14,,,,,0.033493238,10.53187962,0.994769614,0.033669342,0.210340806,0,0
WBGene00004471,rps-2,14,,,,,0.042594357,7.341579315,0.984308842,0.043273367,0.209939404,0,0
WBGene00004439,rpl-25.2,14,,,,,0.050513276,6.044396196,0.966874222,0.052243896,0.20509076,0,0
WBGene00002064,iff-1,14,,,,,0.059713068,4.948181938,0.95392279,0.062597381,0.201281642,0,0
WBGene00004480,rps-11,14,,,,,0.03222859,11.18979905,0.997011208,0.032325204,0.198019883,0,0
WBGene00012615,dct-16,15,Intestine,"Prominently expresses cat-4 and ptps-1 which have been to be observed in the anterior intestine (PMID 25808955). Additionally, this cluster expresses ceh-37 and app-1.",,cat-4(+)ptps-1(+) intestine anterior,0.109229285,61.91634986,0.998992697,0.109339423,0.587194693,0,0
WBGene00001501,ftn-2,15,,,,,0.137767473,7.873757945,0.938302695,0.146826257,0.505162929,0,0
WBGene00000067,act-5,15,,,,,0.151604046,3.791793054,0.869554268,0.174346848,0.466744437,0,0
WBGene00022497,Y119D3B.21,15,,,,,0.112203741,11.78197685,0.964996223,0.116273762,0.462828591,0,0
WBGene00002273,lec-10,15,,,,,0.142111254,6.183938839,0.909090909,0.15632238,0.458168784,0,0
WBGene00002272,lec-9,15,,,,,0.128897224,9.477696605,0.945353815,0.136348129,0.453268366,0,0
WBGene00002271,lec-8,15,,,,,0.13848107,5.621039819,0.851926467,0.162550496,0.430925074,0,0
WBGene00009048,cth-1,15,,,,,0.10860944,4.307331508,0.877864518,0.123720047,0.387561561,0,0
WBGene00002269,lec-6,15,,,,,0.097170158,3.218848007,0.854444724,0.113723165,0.372622674,0,0
WBGene00000298,cat-4,15,,,,,0.114039514,2.459037877,0.618484009,0.18438555,0.340694281,0,0
WBGene00003934,pat-10,16,Muscle,"This cluster does not prominently express the vulval muscle markers C53B7.2 (CeNGEN) and mls-1 (CeNGEN) unlike clusters 85 and 143; it does not express the anal muscle markers ttr-10 (CeNGEN), fbl-1 (CeNGEN), Y19D10B.6 (CeNGEN), W03A5.1 (CeNGEN) unlike cluster 92; it does not express hmc markers glb-26 (CeNGEN), Y105E8B.9 (CeNGEN), W04G5.4 (CeNGEN) unlike cluster 103. This cluster also does not express F35D11.1 which is expressed in anal and vulval muscles as well as hmc but not body wall muscle. Additionally, this cluster (in addition to cluster 11) does not prominently express markers of the anterior body wall muscle (unlike cluster 29) or posterior body wall muscle (unlike cluster 53). It does express ceh-34, tni-3 and lron-9 more prominently relative to cluster 29 indicating that it represents body wall muscle but not anterior body wall muscle (CeNGEN)",,Body wall muscle middle,0.067940958,68.45462653,0.999741067,0.067958555,0.389660941,0,0
WBGene00000779,cpn-3,16,,,,,0.077006919,26.4406777,0.995080269,0.077387645,0.38574049,0,0
WBGene00020808,clik-1,16,,,,,0.070751516,14.15265638,0.987312273,0.071660727,0.370996198,0,0
WBGene00003370,mlc-2,16,,,,,0.056906127,6.789707347,0.952097359,0.059769231,0.300538948,0,0
WBGene00003371,mlc-3,16,,,,,0.052995816,15.35567299,0.991455205,0.053452557,0.291419507,0,0
WBGene00003369,mlc-1,16,,,,,0.064234004,4.443415028,0.871569135,0.073699265,0.270142984,0,0
WBGene00002978,lev-11,16,,,,,0.044901644,7.53098077,0.97410668,0.046095202,0.264359316,0,0
WBGene00003495,mup-2,16,,,,,0.059929424,3.683787164,0.814344899,0.073592189,0.260204771,0,0
WBGene00006408,tag-18,16,,,,,0.059026051,4.032190039,0.814862765,0.0724368,0.25640235,0,0
WBGene00000063,act-1,16,,,,,0.051607663,3.725027706,0.845416882,0.061044041,0.23180256,0,0
WBGene00007196,B0513.4,17,Gonadal,"This cluster does not express markers of the proximal gonadal sheath: tni-1, ipp-5, vav-1, ncr-2, myo-3, unc-54, unc-15, unc-89, lev-11 and pat-10. This cluster expresses inx-8 and inx-9 prominently (sh1 gonadal sheath expresses inx-8 and inx-9 at a lower level compared to sh2 gonadal sheath).",,sh2 (gonadal sheath distal),0.13137924,8.066794378,0.953947368,0.137721686,0.409661587,0,0
WBGene00016636,perm-2,17,,,,,0.093186726,25.03480487,0.992894737,0.09385358,0.391307822,0,0
WBGene00020218,T04G9.7,17,,,,,0.103927165,20.10177328,0.989736842,0.105004846,0.378678425,0,0
WBGene00016638,perm-4,17,,,,,0.108541981,16.45090066,0.985526316,0.110136055,0.378234332,0,0
WBGene00001386,far-2,17,,,,,0.043660203,15.189709,0.999210526,0.043694699,0.300157933,0,0
WBGene00020149,T01D1.4,17,,,,,0.090802409,2.677067699,0.746842105,0.121581803,0.28955284,0,0
WBGene00008132,gale-1,17,,,,,0.096676012,2.197434392,0.698947368,0.138316583,0.284245683,0,0
WBGene00016534,C39D10.7,17,,,,,0.079275157,3.56531547,0.825789474,0.095999234,0.263153061,0,0
WBGene00018271,F41C3.5,17,,,,,0.07637187,3.737359416,0.850526316,0.089793659,0.257586295,0,0
WBGene00021078,unc-132,17,,,,,0.072042468,2.070738845,0.712894737,0.101056249,0.249867356,0,0
WBGene00007709,clec-87,18,Germline,"Among the germline clusters, this cluster expresses oocyte markers (wormbase) most prominently including: cbd-1, cpg-1, spn-4, pos-1, puf-5",,Oocytes,0.130252478,5.93825177,0.838329764,0.155371411,0.354463015,0,0
WBGene00004078,pos-1,18,,,,,0.088766483,1.53640797,0.678533191,0.130821136,0.27940019,0,0
WBGene00011063,cpg-3,18,,,,,0.122544266,2.35266468,0.574678801,0.21323958,0.277690471,0,0
WBGene00015102,cpg-2,18,,,,,0.109890242,1.678197774,0.650695931,0.168881096,0.266450029,0,0
WBGene00007332,C05C10.5,18,,,,,0.101208122,1.078295618,0.542023555,0.186722737,0.24911618,0,0
WBGene00000465,cpg-1,18,,,,,0.095597103,1.443994958,0.612955032,0.155961038,0.236015758,0,0
WBGene00004241,puf-5,18,,,,,0.075853172,1.01166538,0.583244111,0.130053901,0.228139601,0,0
WBGene00017134,EEED8.3,18,,,,,0.073439663,1.031507193,0.519004283,0.141501072,0.22174683,0,0
WBGene00014117,clec-91,18,,,,,0.075790243,1.247125093,0.532655246,0.142287613,0.220505952,0,0
WBGene00019606,clec-88,18,,,,,0.086537756,0.858591489,0.475642398,0.181938693,0.214293324,0,0
WBGene00016627,C44B7.5,19,Gonadal,"This cluster prominently expresses markers of the proximal gonadal sheath: tni-1, ipp-5, vav-1, ncr-2. Additionally, this cluster prominently expresses myo-3, unc-54, unc-15, unc-89, lev-11 and pat-10 which are all markers of the proximal (myoepithelial) gonadal sheath cells. This cluster does not express pat-10 as prominently as cluster 79, this indicates that this cluster represents the sh3_sh4 proximal gonad. ",,sh3_sh4 (gonadal sheath proximal),0.338712422,35.45185541,0.716152349,0.472961405,0.500114824,0,0
WBGene00018605,F48E3.4,19,,,,,0.190971191,8.885343558,0.9441201,0.202274256,0.496024749,0,0
WBGene00016638,perm-4,19,,,,,0.147894923,24.32031351,0.994161802,0.148763433,0.475252538,0,0
WBGene00011124,sdz-27,19,,,,,0.196976793,7.481875815,0.884626077,0.222666727,0.472591258,0,0
WBGene00009897,skpo-1,19,,,,,0.163164452,6.673292286,0.896580484,0.181985282,0.427735304,0,0
WBGene00016636,perm-2,19,,,,,0.107428971,30.02168819,0.993883792,0.108090072,0.425828592,0,0
WBGene00002130,inx-8,19,,,,,0.161756823,4.868131538,0.828190158,0.195313626,0.401916598,0,0
WBGene00016534,C39D10.7,19,,,,,0.14178936,6.945048684,0.883792049,0.160432944,0.385969767,0,0
WBGene00006541,tbh-1,19,,,,,0.141927552,4.236140903,0.760355852,0.186659381,0.346410357,0,0
WBGene00018271,F41C3.5,19,,,,,0.110863316,5.602118146,0.901862663,0.12292705,0.344574215,0,0
